id,text,user_name,id_str,created,retweet_count
33,"RT @NedaaAlkhamis: 15472 وفيات،
 1.5 مليون اصابة (50٪ خطيرة) 
تم الإبلاغ عنها في قاعدة بيانات الاتحاد الأوروبي للتفاعلات الدوائية الضارة لل…",pi5po,1408179103467966470,2021-06-24T21:43:55,0
34,Cracking news the Pitcairn Islands are now on the U.K. green travel list. Millions can now book their summer hols #greenlist,timutteridge,1408179103698763776,2021-06-24T21:43:55,0
35,"RT @KamalaHarris: The United States has experienced more deaths from COVID-19 than from World War I, World War II, the Vietnam War, and 9/1…",laurie53225799,1408179103723790337,2021-06-24T21:43:55,0
36,"RT @revuestarlight: 🎊無料配信決定🎊
舞台＃3Growthの楽天先行の実施とチケット一般発売を記念して🎉
舞台「少女☆歌劇 レヴュースタァライト-The LIVE- #1 revival」をYouTubeスタァライトチャンネルにて6/26(土)より無料配信決…",bamiyan_stage,1408179103795089410,2021-06-24T21:43:55,0
37,RT @alessiasliv: 📲 BREAKING NEWS! Olivia Rodrigo announces her second album “spicy” https://t.co/6BRWZ0iAFW,AveryNe80476250,1408179103732310019,2021-06-24T21:43:55,0
38,RT @osowxvyy: Now I see why my mum never let me sleep at a friend's house,britannyleessa,1408179103648395264,2021-06-24T21:43:55,0
39,"#コレコレ　#人気YouTuber 
もうYahooニュースになってる…
コレコレさんのアーカイブみてビックリしたょぉ。大変な事になっちゃってる💦

YouTuber31人 宣言下に宴会
#Yahooニュース
https://t.co/tAgZhWrl1j",t_m_d_r_,1408179103987945475,2021-06-24T21:43:55,0
40,RT @NickAdamsinUSA: Ted Lieu is a fraud! https://t.co/MxcT9cJgg1,x4Ft7HWkMzgbgMe,1408179104189460481,2021-06-24T21:43:55,0
41,"RT @tv_asahi_news: 台湾・蔡総統「残念に思う」リンゴ日報発行停止受け 
https://t.co/dmyX3aw52x",AORtgYtW3nc1cHW,1408179104378089472,2021-06-24T21:43:55,0
42,M.Pokora mort à cause de ses tatouages!,nairaxo,1408179104277581831,2021-06-24T21:43:55,0
43,RT @magnusllewellin: Nicola Sturgeon has been accused of burying bad news by delaying a decision to scrap the Scottish Qualifications Autho…,Inmyview5,1408179104470421512,2021-06-24T21:43:55,0
44,"@Dangchick1 CRT the actual academic model is a great tool for learning.
CRT as breathlessly flogged by Fox News is… https://t.co/yn8dCqzbyz",HoTimothyJo,1408179104562700293,2021-06-24T21:43:55,0
45,"Well, crap. Not that I’m upset about the actual prospect of genuine infrastructure spending, just that Sinema, a fr… https://t.co/01fxrU43fB",ProdSlash,1408179104797519872,2021-06-24T21:43:55,0
46,"RT @vivamjm: ""The UK's departure from the European Union has coincided with the Covid-19 pandemic and a *worldwide shortage* of HGV drivers…",MrBenWasTheBest,1408179105040830474,2021-06-24T21:43:56,0
47,"@binance @BinanceBCF @TheBinanceNFT -GL0BAL NEWS-
 Very important event!

 More inf0rmation:… https://t.co/Ht32igRey9",JavaSTL,1408179105061818371,2021-06-24T21:43:56,0
48,"TROPHY HUNTING

To this THIS DAY
these areas are 
TERRIFYING😱

SOUTH AFRICA and

▫️MEDICINE (Prime Evil) 
▫️POLICE&amp;… https://t.co/442gYRYlT5",scarlet_musical,1408179105170853891,2021-06-24T21:43:56,0
49,@crf_mayk @edvaldocaldasjr @SamPancher @PedroHallal Epidemiologia ligada aos exercícios físicos.  Entra na platafor… https://t.co/fYr1P51z1H,H_T_Junior,1408179105376374794,2021-06-24T21:43:56,0
50,"RT @crank_in_net: 櫻坂46・田村保乃、1st写真集の発売決定　改名後グループ初
#田村保乃　#櫻坂46

▼記事詳細＆先行カット（3枚）
https://t.co/poVQNd7Xnn https://t.co/0NDibPskqJ",my329UME16,1408179105804165120,2021-06-24T21:43:56,0
51,RT @willsommer: There's a real fascist vibe to this One America News personality calming calling for the execution of potentially tens of t…,SFSwede,1408179105820987393,2021-06-24T21:43:56,0
52,RT @EricBoehlert: “The United States is the only major country in the world where terrestrial radio pays no royalties to performers or reco…,MR_FJG_SON,1408179105934106630,2021-06-24T21:43:56,0
53,"RT @doctor_oxford: YES.

Not next month. Not next year. Not next election cycle.

Now. 

RT if you agree. https://t.co/nGrv6KBhvc",nellie_noodle,1408179105758076939,2021-06-24T21:43:56,0
54,Nearly all COVID deaths in US are now among unvaccinated https://t.co/BYaYJMPyW5 via @Yahoo,pkcomedyshow,1408179105963511809,2021-06-24T21:43:56,0
55,Continúa el ayuntamiento capitalino apoyando a la Secretaria de Bienestar con insumos para la vacunación COVID-19… https://t.co/1mSxoAnq9X,AytoTlaxcala,1408179105711931403,2021-06-24T21:43:56,0
56,"RT @fateCEOavi: You can write anything if it ends with -n1272176 and it will lead to this article lol
https://t.co/vUb0yqpE6N https://t.co/…",Sajfaj301,1408179106408284164,2021-06-24T21:43:56,0
57,RT @nhk_news: マイクロソフト 「ウィンドウズ11」ことし後半に提供へ #nhk_news https://t.co/feCYdJyoMq,mkitidon,1408179106533892097,2021-06-24T21:43:56,0
58,RT @markmobility: OMG. A black teen was on his girlfriend's back porch when a Florida state trooper Tased him. @CBS12 reports he will remai…,Kathleen1137,1408179106462769153,2021-06-24T21:43:56,0
59,https://t.co/XpOipXYNkn,GrantWGraves,1408179106726825984,2021-06-24T21:43:56,0
60,"RT @RichardGCorbett: 5 years today since the #Referendum 
Confounding expectations, public opinion has NOT rallied behind the result, despi…",BarbaraJCormack,1408179106601132037,2021-06-24T21:43:56,0
61,💯👂⚠️⚠️https://t.co/aVF90wwCnz,REALT39311964,1408179106940952578,2021-06-24T21:43:56,0
62,"RT @NIPEC_online: Launch of the Report - ""Nurses for Health Equity"" at WISH on 22/06/21 ""Nurses at the forefront of change, challenging the…",C_Hannaway,1408179107066748931,2021-06-24T21:43:56,0
63,"RT @NJPolicy: 🩺 BIG HEALTH CARE NEWS: The New Jersey Senate &amp; Assembly have passed legislation to #CoverAllKids!

Right now, there are more…",NJPHA1,1408179107180027908,2021-06-24T21:43:56,0
64,"RT @KamalaHarris: The United States has experienced more deaths from COVID-19 than from World War I, World War II, the Vietnam War, and 9/1…",TopofthePhil,1408179107364540426,2021-06-24T21:43:56,0
65,RT @mister_sid_: https://t.co/iR84T9lVM0,james_honore,1408179107423260676,2021-06-24T21:43:56,0
66,RT @ExpandMajority: We're an account dedicated to expanding the Democratic majorities in both the House and Senate in 2022. Please do us a…,seekerwill,1408179107398029318,2021-06-24T21:43:56,0
67,RT @NARALMissouri: SAY 📢 IT 📢 @KennedyXpress! “No one should lose their birth control coverage based on how much money they make or what ki…,Ceyx54,1408179107456823299,2021-06-24T21:43:56,0
68,"RT @gill_godwin: The private message said ""Pension"" 
How can that possibly be considered racist?  
#cdnpoli 

Bennett issues public apology…",aholyghost1,1408179107570012167,2021-06-24T21:43:56,0
69,"RT @DrEricDing: ⚠️“5-10 seconds” is all one needs to transmit the #DeltaVariant, warns Queensland 🇦🇺 health officer, that it **no longer ta…",Emeraldmuse,1408179107549089796,2021-06-24T21:43:56,0
70,"櫻坂46田村保乃、1st写真集決定 初めての水着・ランジェリー・お風呂で大胆に 
#田村保乃 #櫻坂46 

https://t.co/vLY8yAjDYG @modelpressより",passion2000,1408179107557302272,2021-06-24T21:43:56,0
71,"RT @tolissoo24: La fin du monde en 2012, fallait voir les transpirations sur le front au collège",SalmaMk_,1408179107758804996,2021-06-24T21:43:56,0
72,"IMPD released a video summary of the investigation into officers shooting a domestic disturbance suspect May 31.

https://t.co/Yoj5tL1TWs",WTHRcom,1408179107595173889,2021-06-24T21:43:56,0
73,"RT @realpfigueiredo: Enquanto isso, a antiga @JovemPanNews, atual Candil News, segue insultando a sua audiência.

""Jornalismo"" cada vez mai…",william_wfq,1408179107888828421,2021-06-24T21:43:56,0
74,"RT @toubennbenn: 安倍政権から続く「最初から記録を作らない」路線の菅政権。
東日本大震災の時、自民党も菅義偉さんも議事録作成がないと良い批判を展開。
民主党政権は後からメモ等を集めて議事録なりのものを作成した。
他方で安倍菅政権、何を言われても議事録は作成せず。…",nazeka_daiku,1408179107871875073,2021-06-24T21:43:56,0
